ticker,sector,industry,country,market_cap_usd
522 HK,Unknown,Unknown,Unknown,
5706 JP,Unknown,Unknown,Unknown,
5711 JP,Unknown,Unknown,Unknown,
5713 JP,Unknown,Unknown,Unknown,
5714 JP,Unknown,Unknown,Unknown,
5831 JP,Unknown,Unknown,Unknown,
5838.JP,Unknown,Unknown,Unknown,
6146 JP,Unknown,Unknown,Unknown,
6269 JP,Unknown,Unknown,Unknown,
6361 JP,Unknown,Unknown,Unknown,
6504.JP,Unknown,Unknown,Unknown,
6525.JP,Unknown,Unknown,Unknown,
6857.JP,Unknown,Unknown,Unknown,
6920 JP,Unknown,Unknown,Unknown,
6944.TWO,Unknown,Unknown,Unknown,
6963 JP,Unknown,Unknown,Unknown,
6990.HK,Healthcare,Biotechnology,China,98078015488.0
7013 JP,Unknown,Unknown,Unknown,
7735 JP,Unknown,Unknown,Unknown,
8002 JP,Unknown,Unknown,Unknown,
8015 JP,Unknown,Unknown,Unknown,
8031 JP,Unknown,Unknown,Unknown,
8058 JP,Unknown,Unknown,Unknown,
8267 JP,Unknown,Unknown,Unknown,
8729.JP,Unknown,Unknown,Unknown,
9532 JP,Unknown,Unknown,Unknown,
9660.HK,Technology,Software - Application,China,85963268096.0
9903.HK,Technology,Semiconductors,China,121360424960.0
9999.HK,Communication Services,Electronic Gaming & Multimedia,China,561233657856.0
AA,Basic Materials,Aluminum,United States,16501032960.0
AAMI,Financial Services,Asset Management,United States,2451986944.0
AAPL,Technology,Consumer Electronics,United States,4409585041408.0
ABBV,Healthcare,Drug Manufacturers - General,United States,371715538944.0
ABCB,Financial Services,Banks - Regional,United States,5555668992.0
ABM,Industrials,Specialty Business Services,United States,2305022464.0
ABN NA,Unknown,Unknown,Unknown,
ABNB,Consumer Cyclical,Travel Services,United States,78847131648.0
ABT,Healthcare,Medical Devices,United States,147130957824.0
ACGL,Financial Services,Insurance - Diversified,Bermuda,32835635200.0
ACLN SW,Unknown,Unknown,Unknown,
ACLN.SW,Industrials,Specialty Industrial Machinery,Switzerland,7958130176.0
ACM,Industrials,Engineering & Construction,United States,9164968960.0
ACMR,Technology,Semiconductor Equipment & Materials,United States,4216537600.0
ACN,Technology,Information Technology Services,Ireland,103897767936.0
ACT,Financial Services,Insurance - Specialty,United States,6005624320.0
AD,Communication Services,Telecom Services,United States,4323876352.0
ADAM,Real Estate,REIT - Mortgage,United States,783588864.0
ADBE,Technology,Software - Application,United States,100079919104.0
ADEA,Technology,Software - Application,United States,3295577344.0
ADI,Technology,Semiconductors,United States,203820351488.0
ADM,Consumer Defensive,Farm Products,United States,38749302784.0
ADMA,Healthcare,Biotechnology,United States,1916760448.0
ADP,Technology,Software - Application,United States,85735006208.0
ADSK,Technology,Software - Application,United States,49961189376.0
ADT,Industrials,Security & Protection Services,United States,5194565632.0
AEE,Utilities,Utilities - Regulated Electric,United States,29435301888.0
AEIS,Industrials,Electrical Equipment & Parts,United States,12301395968.0
AEM,Basic Materials,Gold,Canada,90171531264.0
AEP,Utilities,Utilities - Regulated Electric,United States,68094746624.0
AG1.GY,Unknown,Unknown,Unknown,
AGCO,Industrials,Farm & Heavy Construction Machinery,United States,8202438144.0
AGPXX,Unknown,Unknown,Unknown,
AGX,Industrials,Engineering & Construction,United States,10083783680.0
AHR,Real Estate,REIT - Healthcare Facilities,United States,9510845440.0
AIR,Industrials,Aerospace & Defense,United States,4157354240.0
AIT,Industrials,Industrial Distribution,United States,11352862720.0
ALAB,Technology,Semiconductors,United States,39883198464.0
ALB,Basic Materials,Specialty Chemicals,United States,21273053184.0
ALG,Industrials,Farm & Heavy Construction Machinery,United States,1792031872.0
ALGN,Healthcare,Medical Instruments & Supplies,United States,11261950976.0
ALHC,Healthcare,Healthcare Plans,United States,3251922944.0
ALIT,Technology,Software - Application,United States,430321408.0
ALK,Industrials,Airlines,United States,4116186112.0
ALKS,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,6247009280.0
ALL,Financial Services,Insurance - Property & Casualty,United States,55955587072.0
ALMS,Healthcare,Biotechnology,United States,2915741696.0
ALNY,Healthcare,Biotechnology,United States,38315442176.0
ALQ AU,Unknown,Unknown,Unknown,
ALV,Consumer Cyclical,Auto Parts,Sweden,8598053888.0
AM,Energy,Oil & Gas Midstream,United States,10440059904.0
AMAT,Technology,Semiconductor Equipment & Materials,United States,346505936896.0
AMD,Technology,Semiconductors,United States,691537707008.0
AME,Industrials,Specialty Industrial Machinery,United States,52235362304.0
AMG,Financial Services,Asset Management,United States,7762775552.0
AMGN,Healthcare,Drug Manufacturers - General,United States,176207396864.0
AMKR,Technology,Semiconductor Equipment & Materials,United States,17437831168.0
AMN,Healthcare,Medical Care Facilities,United States,1109668992.0
AMP,Financial Services,Asset Management,United States,42285793280.0
AMPH,Healthcare,Drug Manufacturers - Specialty & Generic,United States,743847616.0
AMPX,Industrials,Electrical Equipment & Parts,United States,2386417920.0
AMRX,Healthcare,Drug Manufacturers - Specialty & Generic,United States,3805942016.0
AMRZ,Basic Materials,Building Materials,Switzerland,27128829952.0
AMTM,Industrials,Specialty Business Services,United States,5614388736.0
AMZN,Consumer Cyclical,Internet Retail,United States,2841383010304.0
ANA SM,Unknown,Unknown,Unknown,
ANDE,Consumer Defensive,Food Distribution,United States,2433502720.0
ANET,Technology,Computer Hardware,United States,178764283904.0
ANF,Consumer Cyclical,Apparel Retail,United States,3170319872.0
ANGI,Communication Services,Internet Content & Information,United States,201431120.0
ANIP,Healthcare,Drug Manufacturers - Specialty & Generic,United States,1773527552.0
AORT,Healthcare,Medical Devices,United States,1105332096.0
APA,Energy,Oil & Gas E&P,United States,13778270208.0
APEI,Consumer Defensive,Education & Training Services,United States,978074752.0
APG,Industrials,Engineering & Construction,United States,18737111040.0
APGE,Healthcare,Biotechnology,United States,6117093888.0
APH,Technology,Electronic Components,United States,153779306496.0
APLE,Real Estate,REIT - Hotel & Motel,United States,3248289536.0
APO,Financial Services,Asset Management,United States,78048944128.0
APP,Communication Services,Advertising Agencies,United States,168305704960.0
APTV,Consumer Cyclical,Auto Parts,Switzerland,11499459584.0
ARES,Financial Services,Asset Management,United States,40706371584.0
ARI,Real Estate,REIT - Mortgage,United States,1440090752.0
ARM,Technology,Semiconductors,United Kingdom,222545952768.0
ARMK,Industrials,Specialty Business Services,United States,13957575680.0
AROC,Energy,Oil & Gas Equipment & Services,United States,6560041984.0
ARWR,Healthcare,Biotechnology,United States,10799507456.0
AS,Consumer Cyclical,Leisure,Finland,19107035136.0
ASELS.E.IS,Unknown,Unknown,Unknown,
ASGN,Technology,Information Technology Services,United States,833931008.0
ASML,Technology,Semiconductor Equipment & Materials,Netherlands,578824110080.0
ASTE,Industrials,Farm & Heavy Construction Machinery,United States,1081573376.0
ASTS,Technology,Communication Equipment,United States,32474382336.0
ATAT,Consumer Cyclical,Lodging,China,5285612544.0
