date,ticker,trackinsight_key,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow,flow_zscore,flow_5d,flow_20d,regime,pressure
2024-09-18,MSTU,BATS:MSTU,255000.0,25.5,0.0,255000.0,255000.0,0.0,0.0,255000.0,255000.0,BALANCED,12.0
2024-09-19,MSTU,BATS:MSTU,22868000.0,30.09,0.18,23123000.0,22868000.0,0.0,0.0,23123000.0,23123000.0,BALANCED,14.0
2024-09-20,MSTU,BATS:MSTU,0.0,30.12,0.001,23123000.0,0.0,0.0,0.0,23123000.0,23123000.0,BALANCED,10.0
2024-09-23,MSTU,BATS:MSTU,4512000.0,32.23,0.0701,27635000.0,4512000.0,0.0,0.0,27635000.0,27635000.0,BALANCED,12.0
2024-09-24,MSTU,BATS:MSTU,0.0,33.89,0.0515,27635000.0,0.0,0.0,-0.5593,27635000.0,27635000.0,BALANCED,-3.9822
2024-09-25,MSTU,BATS:MSTU,27728000.0,33.01,-0.026,55363000.0,27728000.0,0.0,1.4614,55108000.0,55363000.0,BALANCED,48.5343
2024-09-26,MSTU,BATS:MSTU,3910000.0,39.1,0.1845,59273000.0,3910000.0,0.0,-0.3885,36150000.0,59273000.0,BALANCED,4.2868
2024-09-27,MSTU,BATS:MSTU,11850000.0,43.89,0.1225,71123000.0,11850000.0,0.0,0.2709,48000000.0,71123000.0,BALANCED,22.7721
2024-09-30,MSTU,BATS:MSTU,6005000.0,40.03,-0.0879,77128000.0,6005000.0,0.0,-0.2498,49493000.0,77128000.0,BALANCED,11.7538
2024-10-01,MSTU,BATS:MSTU,39060000.0,37.2,-0.0707,116188000.0,39060000.0,0.0,2.0087,88553000.0,116188000.0,ACCUMULATION,70.2167
2024-10-02,MSTU,BATS:MSTU,7993000.0,38.06,0.0231,124181000.0,7993000.0,0.0,-0.2534,68818000.0,124181000.0,BALANCED,15.6643
2024-10-03,MSTU,BATS:MSTU,56205000.0,37.47,-0.0155,180386000.0,56205000.0,0.0,2.2948,121113000.0,180386000.0,ACCUMULATION,81.3702
2024-10-04,MSTU,BATS:MSTU,1738000.0,43.45,0.1596,182124000.0,1738000.0,0.0,-0.6985,111001000.0,182124000.0,BALANCED,8.5382
2024-10-07,MSTU,BATS:MSTU,-5772000.0,48.1,0.107,176352000.0,0.0,-5772000.0,-1.0384,99224000.0,176352000.0,BALANCED,-17.9612
2024-10-08,MSTU,BATS:MSTU,35819000.0,51.17,0.0638,212171000.0,35819000.0,0.0,1.1995,95983000.0,212171000.0,BALANCED,41.9884
2024-10-09,MSTU,BATS:MSTU,-10866000.0,49.39,-0.0348,201305000.0,0.0,-10866000.0,-1.2645,77124000.0,201305000.0,BALANCED,-23.6137
2024-10-10,MSTU,BATS:MSTU,11148000.0,46.45,-0.0595,212453000.0,11148000.0,0.0,-0.0751,32067000.0,212453000.0,BALANCED,10.1216
2024-10-11,MSTU,BATS:MSTU,101046000.0,61.24,0.3184,313499000.0,101046000.0,0.0,3.0762,131375000.0,313499000.0,ACCUMULATION,90.9045
2024-10-14,MSTU,BATS:MSTU,3840000.0,54.85,-0.1043,317339000.0,3840000.0,0.0,-0.4835,140987000.0,317339000.0,BALANCED,3.913
2024-10-15,MSTU,BATS:MSTU,17272000.0,50.8,-0.0738,334611000.0,17272000.0,0.0,0.0209,122440000.0,334611000.0,BALANCED,18.5228
2024-10-16,MSTU,BATS:MSTU,15195000.0,50.65,-0.003,349806000.0,15195000.0,0.0,-0.0579,148501000.0,349551000.0,BALANCED,18.5515
2024-10-17,MSTU,BATS:MSTU,12065000.0,50.27,-0.0075,361871000.0,12065000.0,0.0,-0.1778,149418000.0,338748000.0,BALANCED,17.5544
