date,ticker,trackinsight_key,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow,flow_zscore,flow_5d,flow_20d,regime,pressure,category,underlying,leverage
2025-02-20,NRGU,ARCX:NRGU,4165000.0,26.03,0.0,4165000.0,4165000.0,0.0,0.0,4165000.0,4165000.0,BALANCED,12.0,3. Sector Specific Leveraged (Bull),MicroSectors U.S. Big Oil Index,+3x
2025-02-21,NRGU,ARCX:NRGU,0.0,24.04,-0.0765,4165000.0,0.0,0.0,0.0,4165000.0,4165000.0,BALANCED,10.0,3. Sector Specific Leveraged (Bull),MicroSectors U.S. Big Oil Index,+3x
2025-02-24,NRGU,ARCX:NRGU,0.0,24.05,0.0005,4165000.0,0.0,0.0,0.0,4165000.0,4165000.0,BALANCED,10.0,3. Sector Specific Leveraged (Bull),MicroSectors U.S. Big Oil Index,+3x
2025-02-25,NRGU,ARCX:NRGU,0.0,23.02,-0.043,4165000.0,0.0,0.0,0.0,4165000.0,4165000.0,BALANCED,10.0,3. Sector Specific Leveraged (Bull),MicroSectors U.S. Big Oil Index,+3x
2025-02-26,NRGU,ARCX:NRGU,0.0,22.27,-0.0325,4165000.0,0.0,0.0,-0.4472,4165000.0,4165000.0,BALANCED,-1.1803,3. Sector Specific Leveraged (Bull),MicroSectors U.S. Big Oil Index,+3x
2025-02-27,NRGU,ARCX:NRGU,0.0,22.86,0.0268,4165000.0,0.0,0.0,-0.4082,0.0,4165000.0,BALANCED,-10.2062,3. Sector Specific Leveraged (Bull),MicroSectors U.S. Big Oil Index,+3x
2025-02-28,NRGU,ARCX:NRGU,0.0,23.47,0.0267,4165000.0,0.0,0.0,-0.378,0.0,4165000.0,BALANCED,-9.4491,3. Sector Specific Leveraged (Bull),MicroSectors U.S. Big Oil Index,+3x
2025-03-03,NRGU,ARCX:NRGU,0.0,20.52,-0.1258,4165000.0,0.0,0.0,-0.3536,0.0,4165000.0,BALANCED,-8.8388,3. Sector Specific Leveraged (Bull),MicroSectors U.S. Big Oil Index,+3x
2025-03-04,NRGU,ARCX:NRGU,0.0,19.9,-0.0302,4165000.0,0.0,0.0,-0.3333,0.0,4165000.0,BALANCED,-8.3333,3. Sector Specific Leveraged (Bull),MicroSectors U.S. Big Oil Index,+3x
2025-03-05,NRGU,ARCX:NRGU,0.0,18.62,-0.0645,4165000.0,0.0,0.0,-0.3162,0.0,4165000.0,BALANCED,-7.9057,3. Sector Specific Leveraged (Bull),MicroSectors U.S. Big Oil Index,+3x
2025-03-06,NRGU,ARCX:NRGU,0.0,19.27,0.0353,4165000.0,0.0,0.0,-0.3015,0.0,4165000.0,BALANCED,-7.5378,3. Sector Specific Leveraged (Bull),MicroSectors U.S. Big Oil Index,+3x
2025-03-07,NRGU,ARCX:NRGU,0.0,20.32,0.0543,4165000.0,0.0,0.0,-0.2887,0.0,4165000.0,BALANCED,-7.2169,3. Sector Specific Leveraged (Bull),MicroSectors U.S. Big Oil Index,+3x
2025-03-10,NRGU,ARCX:NRGU,0.0,20.72,0.0195,4165000.0,0.0,0.0,-0.2774,0.0,4165000.0,BALANCED,-6.9338,3. Sector Specific Leveraged (Bull),MicroSectors U.S. Big Oil Index,+3x
