date,ticker,trackinsight_key,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow,flow_zscore,flow_5d,flow_20d,regime,pressure
2017-05-03,DFEN,ARCX:DFEN,2470000.0,24.7,0.0,2470000.0,2470000.0,0.0,0.0,2470000.0,2470000.0,BALANCED,12.0
2017-05-04,DFEN,ARCX:DFEN,0.0,24.74,0.0016,2470000.0,0.0,0.0,0.0,2470000.0,2470000.0,BALANCED,10.0
2017-05-05,DFEN,ARCX:DFEN,0.0,25.4,0.0267,2470000.0,0.0,0.0,0.0,2470000.0,2470000.0,BALANCED,10.0
2017-05-08,DFEN,ARCX:DFEN,0.0,25.32,-0.0031,2470000.0,0.0,0.0,0.0,2470000.0,2470000.0,BALANCED,10.0
2017-05-09,DFEN,ARCX:DFEN,0.0,25.36,0.0018,2470000.0,0.0,0.0,-0.4472,2470000.0,2470000.0,BALANCED,-1.1803
2017-05-10,DFEN,ARCX:DFEN,0.0,25.05,-0.0122,2470000.0,0.0,0.0,-0.4082,0.0,2470000.0,BALANCED,-10.2062
2017-05-11,DFEN,ARCX:DFEN,0.0,25.04,-0.0006,2470000.0,0.0,0.0,-0.378,0.0,2470000.0,BALANCED,-9.4491
2017-05-12,DFEN,ARCX:DFEN,0.0,24.63,-0.0161,2470000.0,0.0,0.0,-0.3536,0.0,2470000.0,BALANCED,-8.8388
2017-05-15,DFEN,ARCX:DFEN,0.0,25.06,0.0175,2470000.0,0.0,0.0,-0.3333,0.0,2470000.0,BALANCED,-8.3333
2017-05-16,DFEN,ARCX:DFEN,0.0,25.11,0.002,2470000.0,0.0,0.0,-0.3162,0.0,2470000.0,BALANCED,-7.9057
2017-05-17,DFEN,ARCX:DFEN,0.0,23.72,-0.0555,2470000.0,0.0,0.0,-0.3015,0.0,2470000.0,BALANCED,-7.5378
2017-05-18,DFEN,ARCX:DFEN,0.0,23.62,-0.0041,2470000.0,0.0,0.0,-0.2887,0.0,2470000.0,BALANCED,-7.2169
2017-05-19,DFEN,ARCX:DFEN,0.0,24.7,0.0457,2470000.0,0.0,0.0,-0.2774,0.0,2470000.0,BALANCED,-6.9338
2017-05-22,DFEN,ARCX:DFEN,0.0,25.38,0.0273,2470000.0,0.0,0.0,-0.2673,0.0,2470000.0,BALANCED,-6.6815
2017-05-23,DFEN,ARCX:DFEN,0.0,25.62,0.0096,2470000.0,0.0,0.0,-0.2582,0.0,2470000.0,BALANCED,-6.455
2017-05-24,DFEN,ARCX:DFEN,2618000.0,26.18,0.022,5088000.0,2618000.0,0.0,2.6456,2618000.0,5088000.0,ACCUMULATION,78.1405
